timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687752074048,692,HTTP Request LIST USERS,200,OK,Thread Group 1-2,text,true,,1754,127,2,2,https://reqres.in/api/users?page=2,687,0,240
1687752073711,1029,HTTP Request LIST USERS,200,OK,Thread Group 1-1,text,true,,1744,127,2,2,https://reqres.in/api/users?page=2,1024,0,579
1687752074741,499,HTTP Request SINGLE USER,200,OK,Thread Group 1-1,text,true,,997,122,2,2,https://reqres.in/api/users/2,499,0,0
1687752074741,583,HTTP Request SINGLE USER,200,OK,Thread Group 1-2,text,true,,993,122,2,2,https://reqres.in/api/users/2,583,0,0
1687752075240,437,HTTP Request SINGLE USER NOT FOUND,404,Not Found,Thread Group 1-1,text,false,,696,123,2,2,https://reqres.in/api/users/23,437,0,0
1687752075678,33,HTTP Request LIST <RESOURCE>,200,OK,Thread Group 1-1,text,true,,1417,122,2,2,https://reqres.in/api/unknown,32,0,0
1687752075711,27,HTTP Request SINGLE <RESOURCE>,200,OK,Thread Group 1-1,text,true,,957,124,2,2,https://reqres.in/api/unknown/2,27,0,0
1687752075325,458,HTTP Request SINGLE USER NOT FOUND,404,Not Found,Thread Group 1-2,text,false,,692,123,2,2,https://reqres.in/api/users/23,458,0,0
1687752075783,26,HTTP Request LIST <RESOURCE>,200,OK,Thread Group 1-2,text,true,,1423,122,2,2,https://reqres.in/api/unknown,26,0,0
1687752075810,27,HTTP Request SINGLE <RESOURCE>,200,OK,Thread Group 1-2,text,true,,949,124,2,2,https://reqres.in/api/unknown/2,27,0,0
1687752075739,425,HTTP Request SINGLE <RESOURCE> NOT FOUND,404,Not Found,Thread Group 1-1,text,false,,696,125,2,2,https://reqres.in/api/unknown/23,425,0,0
1687752075838,438,HTTP Request SINGLE <RESOURCE> NOT FOUND,404,Not Found,Thread Group 1-2,text,false,,694,125,2,2,https://reqres.in/api/unknown/23,438,0,0
1687752076165,444,HTTP Request CREATE,201,Created,Thread Group 1-1,text,true,,750,229,2,2,https://reqres.in/api/users,444,0,0
1687752076276,421,HTTP Request CREATE,201,Created,Thread Group 1-2,text,true,,748,229,2,2,https://reqres.in/api/users,420,0,0
